T ANT     09 33 50.9 -36 36 57   9.76  8.89  DCEP:      5.89771
U AQL     19 29 21.4 -07 02 39   6.86  6.08  DCEP       7.02393
SZ AQL    19 04 39.4 +01 18 22   9.26  7.92  DCEP      17.137939
TT AQL    19 08 13.7 +01 17 55   7.70  6.46  DCEP      13.7546
BC AQL    19 17 24.2 -09 04 52  15.7  14.2   CEP        2.90513
EV AQL    19 06 46.2 +14 55 46  13.9  12.4   CEP       38.767
FF AQL    18 58 14.7 +17 21 39   5.68  5.18  DCEPS      4.470916
FM AQL    19 09 16.0 +10 33 09   8.66  7.89  DCEP       6.11423
FN AQL    19 12 47.3 +03 33 27   8.75  7.96  DCEPS      9.48151
KL AQL    20 01 09.8 +15 48 13  10.56  9.82  DCEP       6.108015
PP AQL    19 52 46.6 +12 40 09  13.4  11.6   DCEP      24.01
V336 AQL  19 01 19.7 +00 08 49  10.28  9.50  DCEP       7.303552
V493 AQL  18 57 24.3 -00 43 49  11.36 10.79  DCEP       2.987751
V496 AQL  19 08 20.8 -07 26 16   7.98  7.59  DCEPS      6.80703
V526 AQL  19 14 38.1 +06 28 58  15.1  13.4   CEP        4.2112
V572 AQL  20 02 32.7 +00 42 50  11.44 11.00  CWB        3.767697
V600 AQL  19 21 02.3 +08 30 59  10.40  9.73  DCEP       7.23845
V733 AQL  19 57 33.0 +11 02 37  10.16  9.73  DCEP       6.178748
V765 AQL  20 02 04.9 -03 02 31  12.40 12.23  DCEPS      5.727
V801 AQL  18 58 58.3 -06 30 45  16.3  14.4 : CWA       14.167
V916 AQL  19 10 00.4 +12 32 12  13.2  11.6   DCEP      13.44155
V979 AQL  19 32 07.2 +03 00 45  14.8  14.1   DCEP       2.36562
V1162AQL  19 52 21.0 -11 22 01   9.3   8.6   DCEPS      5.3761
V1344AQL  19 11 59.2 +04 21 17   8.00  7.65  DCEP       7.47803
V1359AQL  20 03 40.0 -03 22 39   9.02  8.83  DCEPS:     3.7317
V1496AQL  18 54 59.5 -00 04 36  13.4  12.5   DCEP:
ETA AQL   19 52 28.4 +01 00 20   4.39  3.48  DCEP       7.176641
DN ARA    17 20 26.5 -62 46 21  14.3  13.4   CEP:      82.
V340 ARA  16 45 19.1 -51 20 33  10.73  9.63  DCEP      20.8090
V341 ARA  16 57 41.5 -63 12 38  11.03 10.59  CWA:      11.95
Y AUR     05 28 39.2 +42 26 16   9.98  9.16  DCEP       3.859485
RT AUR    06 28 34.1 +30 29 35   5.82  5.00  DCEP       3.728115
RX AUR    05 01 23.2 +39 57 37   8.02  7.28  DCEP      11.623515
SY AUR    05 12 39.2 +42 49 54   9.38  8.75  DCEP      10.14452
YZ AUR    05 15 22.0 +40 04 41  10.93  9.94  DCEP      18.1929
AN AUR    04 59 41.5 +40 50 10  10.83 10.14  DCEP      10.2906
AO AUR    05 47 45.1 +32 00 53  11.30 10.38  DCEP       6.763006
AX AUR    05 46 50.8 +31 35 53  13.8  13.2   DCEP       3.04664
