6 1001 54480.819   7.668 0.014 64 AAGem
7 1001 54480.819   7.157 0.013 64 AAGem
8 1001 54480.819   7.065 0.020 64 AAGem
6 1001 54482.905   7.742 0.014 64 AAGem
7 1001 54482.905   7.273 0.013 64 AAGem
8 1001 54482.905   7.214 0.020 64 AAGem
6 1001 54487.884   7.535 0.014 64 AAGem
7 1001 54487.884   7.129 0.013 64 AAGem
8 1001 54487.884   7.051 0.020 64 AAGem
6 1001 54488.712   7.583 0.014 64 AAGem
7 1001 54488.712   7.106 0.013 64 AAGem
8 1001 54488.712   7.057 0.020 64 AAGem
6 1001 54489.718   7.550 0.014 64 AAGem
7 1001 54489.718   7.095 0.013 64 AAGem
8 1001 54489.718   6.978 0.020 64 AAGem
6 1001 54490.709   7.625 0.014 64 AAGem
7 1001 54490.709   7.128 0.013 64 AAGem
8 1001 54490.709   6.975 0.020 64 AAGem
6 1001 54492.690   7.651 0.014 64 AAGem
7 1001 54492.690   7.186 0.013 64 AAGem
8 1001 54492.690   7.054 0.020 64 AAGem
6 1001 54512.824   7.589 0.014 64 AAGem
7 1001 54512.824   7.112 0.013 64 AAGem
8 1001 54512.824   7.027 0.020 64 AAGem
6 1001 54515.808   7.724 0.014 64 AAGem
7 1001 54515.808   7.201 0.013 64 AAGem
8 1001 54515.808   7.150 0.020 64 AAGem
6 1001 54520.701   7.605 0.014 64 AAGem
7 1001 54520.701   7.186 0.013 64 AAGem
8 1001 54520.701   7.079 0.020 64 AAGem
6 1001 54553.737   7.682 0.014 64 AAGem
7 1001 54553.737   7.250 0.013 64 AAGem
8 1001 54553.737   7.117 0.020 64 AAGem
6 1001 54574.673   7.735 0.014 64 AAGem
7 1001 54574.673   7.305 0.013 64 AAGem
8 1001 54574.673   7.224 0.020 64 AAGem
6 1001 54575.654   7.725 0.014 64 AAGem
7 1001 54575.654   7.292 0.013 64 AAGem
8 1001 54575.654   7.179 0.020 64 AAGem
6 1001 54577.646   7.569 0.014 64 AAGem
7 1001 54577.646   7.186 0.013 64 AAGem
8 1001 54577.646   7.020 0.020 64 AAGem
6 1001 54578.675   7.573 0.014 64 AAGem
7 1001 54578.675   7.116 0.013 64 AAGem
