  1 AA GEM    06 06 34.94 +26 19 45.1  7.646 0.018  7.189 0.016  7.086 0.015 23 23 23  7.746  7.318  7.152 Ceph AA GEM          
  3 AA GEM    06 06 30.28 +26 16 34.2  9.815 0.006  9.225 0.004  9.172 0.008 22 22 22  9.825  9.262  9.147                      
  4 AA GEM    06 06 36.59 +26 25 38.6 10.123 0.010  9.486 0.009  9.336 0.015 20 21 21 10.087  9.452  9.302                      
  6 AA GEM    06 07 07.81 +26 22 01.8 10.024 0.011  9.322 0.014  9.114 0.030 20 20 20  9.986  9.271  9.097                      
  8 AA GEM    06 06 29.56 +26 24 46.5 10.301 0.007  9.540 0.006  9.369 0.016 22 22 22 10.304  9.551  9.321                      
  9 AA GEM    06 07 05.36 +26 17 06.2 10.235 0.014  9.694 0.009  9.602 0.020 20 20 20 10.227  9.765  9.589                      
  5 AA MON    06 57 51.54 -03 45 46.7  8.531 0.004  8.324 0.008  7.996 0.031 22 22 21  8.519  8.329  8.075 HD 295852            
  6 AA MON    06 57 48.38 -03 51 31.6  9.237 0.006  8.660 0.005  8.541 0.009 22 22 22  9.279  8.719  8.560                      
  8 AA MON    06 57 29.04 -03 49 44.1  9.424 0.004  8.856 0.004  8.744 0.005 22 22 22  9.453  8.861  8.695                      
 11 AA MON    06 57 42.32 -03 47 34.1  9.294 0.005  9.064 0.007  8.957 0.014 22 22 22  9.319  9.041  8.985 HD 295853            
 12 AA MON    06 57 23.77 -03 50 35.9  9.729 0.018  9.186 0.016  8.989 0.015 22 22 22  9.878  9.315  9.066 Ceph AA MON          
 13 AA MON    06 57 12.11 -03 49 10.4 10.413 0.005  9.258 0.005  8.940 0.008 20 20 20 10.507  9.313  8.905                      
 18 AA MON    06 57 50.75 -03 44 49.0  9.985 0.007  9.465 0.011  9.329 0.034 15 15 15  9.942  9.402  9.290                      
 23 AA MON    06 57 38.99 -03 45 03.4 10.448 0.008  9.975 0.007  9.843 0.021 20 21 21 10.440  9.958  9.843                      
 29 AA MON    06 57 14.89 -03 46 17.6 10.702 0.005 10.188 0.005 10.113 0.012 20 20 20 10.755 10.237 10.074                      
 30 AA MON    06 57 24.04 -03 55 31.8 11.187 0.007 10.287 0.009 10.122 0.014 22 22 22 11.148 10.270 10.010                      
 33 AA MON    06 57 20.33 -03 45 48.8 11.315 0.010 10.655 0.007 10.463 0.010 22 22 22 11.330 10.636 10.462                      
 40 AA MON    06 57 17.54 -03 47 35.2 11.125 0.007 10.941 0.007 10.967 0.016 22 22 22 11.115 10.929 10.878                      
 41 AA MON    06 57 14.83 -03 45 26.1 11.094 0.007 11.005 0.008 11.000 0.020 17 17 17 11.083 11.013 10.935                      
 43 AA MON    06 57 21.40 -03 51 48.7 11.740 0.009 11.407 0.010 11.406 0.018 21 22 22 11.835 11.567 11.492                      
 45 AA MON    06 57 11.21 -03 48 22.1 11.545 0.007 11.472 0.009 11.498 0.019 20 20 20 11.526 11.486 11.428                      
 54 AA MON    06 57 36.24 -03 48 03.1 11.857 0.008 11.794 0.012 11.783 0.023 20 20 20 11.808 11.780 11.761                      
  1 AA SER    18 41 30.59 -01 05 06.1  7.076 0.003  6.153 0.004  5.901 0.005 20 20 20  7.092  6.180  5.853                      
  2 AA SER    18 41 34.57 -01 10 07.1  7.811 0.003  6.602 0.004  6.245 0.006 21 21 21  7.849  6.687  6.171                      
  3 AA SER    18 41 21.75 -01 06 40.3  7.544 0.018  6.758 0.016  6.491 0.015 21 21 21  7.544  6.722  6.326 Ceph AA SER          
  4 AA SER    18 41 37.22 -01 07 38.2  8.267 0.002  7.092 0.003  6.730 0.005 21 21 21  8.329  7.112  6.661                      
  5 AA SER    18 41 40.63 -01 03 38.2  8.620 0.008  7.476 0.011  7.013 0.028 21 21 20  8.622  7.461  6.981                      
  6 AA SER    18 41 31.76 -01 08 51.2  8.938 0.002  7.709 0.004  7.339 0.005 21 21 21  9.004  7.761  7.250                      
  7 AA SER    18 41 19.05 -01 06 29.8  9.053 0.004  7.755 0.002  7.282 0.007 21 21 21  9.145  7.814  7.238                      
  8 AA SER    18 41 26.50 -01 11 42.7  9.136 0.003  7.835 0.006  7.426 0.012 20 20 20  9.180  7.893  7.335                      
 10 AA SER    18 41 42.18 -01 05 23.2  9.457 0.007  8.276 0.009  7.816 0.020 21 21 20  9.509  8.245  7.748                      
 11 AA SER    18 41 27.52 -01 03 10.6  9.638 0.006  8.358 0.006  7.879 0.012 21 21 21  9.687  8.371  7.830                      
 15 AA SER    18 41 28.26 -01 01 58.7  9.844 0.007  8.700 0.008  8.247 0.018 20 20 20  9.816  8.677  8.235                      
 16 AA SER    18 41 07.28 -01 05 55.2  9.979 0.004  8.701 0.004  8.271 0.017 21 21 21 10.060  8.802  8.243                      
 17 AA SER    18 41 31.92 -01 10 11.2 10.112 0.005  8.734 0.005  8.283 0.007 21 21 21 10.165  8.788  8.180                      
 18 AA SER    18 41 36.02 -01 09 21.9 10.015 0.004  8.756 0.004  8.366 0.004 21 21 21 10.028  8.779  8.288                      
 20 AA SER    18 41 37.26 -01 03 55.8 10.095 0.006  8.774 0.008  8.203 0.032 20 20 20 10.129  8.753  8.137                      
 22 AA SER    18 41 17.74 -01 07 05.1 10.450 0.061  9.004 0.040  8.205 0.029 21 21 21 10.485  8.920  8.004 unclassified variable
 24 AA SER    18 41 16.43 -01 08 32.4 10.387 0.006  9.063 0.004  8.631 0.012 21 21 21 10.607  9.360  8.618                      
 25 AA SER    18 41 08.88 -01 04 24.9 10.257 0.006  9.040 0.003  8.626 0.011 21 21 21 10.292  9.116  8.599                      
 28 AA SER    18 41 18.55 -01 10 26.9 10.403 0.005  9.173 0.008  8.831 0.013 20 20 20 10.425  9.221  8.753                      
 32 AA SER    18 41 39.70 -01 09 17.1 10.212 0.004  9.245 0.004  8.991 0.005 21 21 21 10.240  9.264  8.958                      
 33 AA SER    18 41 37.47 -01 09 05.4 10.547 0.005  9.274 0.004  8.857 0.005 21 21 21 10.598  9.318  8.827                      
 47 AA SER    18 41 43.30 -01 10 51.4  9.809 0.006  9.557 0.004  9.522 0.006 20 20 20  9.796  9.568  9.506                      
 48 AA SER    18 41 13.57 -01 03 55.9  9.779 0.003  9.542 0.005  9.436 0.011 21 21 21  9.739  9.564  9.384                      
 53 AA SER    18 41 42.14 -01 09 26.3  9.990 0.004  9.650 0.005  9.629 0.008 21 21 21  9.967  9.666  9.551                      
 55 AA SER    18 41 25.30 -01 11 55.5 10.346 0.004  9.658 0.007  9.554 0.013 20 20 20 10.303  9.615  9.473                      
 72 AA SER    18 41 23.74 -01 07 34.5 10.744 0.005  9.938 0.004  9.770 0.013 21 21 21 10.768  9.962  9.710                      
 90 AA SER    18 41 39.19 -01 10 40.1 10.730 0.005 10.318 0.005 10.212 0.011 20 20 20 10.748 10.453 10.274                      
  1 AC MON    07 00 59.81 -08 42 32.3  7.579 0.018  7.054 0.016  6.885 0.015 22 22 22  7.531  7.047  6.856 Ceph AC MON          
  2 AC MON    07 00 58.68 -08 44 31.4  8.196 0.004  7.290 0.004  7.110 0.002 22 22 22  8.205  7.311  7.091                      
  3 AC MON    07 01 29.63 -08 37 58.8  9.287 0.021  8.544 0.017  8.320 0.027 19 19 18  9.253  8.538  8.338                      
  4 AC MON    07 01 22.89 -08 46 19.6  9.688 0.006  9.040 0.006  8.925 0.007 21 21 21  9.707  9.092  8.950                      
  5 AC MON    07 01 10.73 -08 47 33.8  9.895 0.006  9.089 0.004  8.957 0.007 22 22 22  9.932  9.117  8.931                      
  7 AC MON    07 00 50.02 -08 43 40.4 10.275 0.008  9.742 0.008  9.698 0.009 22 22 22 10.277  9.812  9.664                      
  8 AC MON    07 01 03.87 -08 41 46.5 10.608 0.005  9.836 0.005  9.597 0.009 22 22 22 10.626  9.832  9.597                      
