AA GEM    2454480.819 0.51  7.668 0.014  7.157 0.013  7.065 0.020 0
AA GEM    2454482.905 0.69  7.742 0.014  7.273 0.013  7.214 0.020 0
AA GEM    2454487.884 0.13  7.535 0.014  7.129 0.013  7.051 0.020 0
AA GEM    2454488.712 0.20  7.583 0.014  7.106 0.013  7.057 0.020 0
AA GEM    2454489.718 0.29  7.550 0.014  7.095 0.013  6.978 0.020 0
AA GEM    2454490.709 0.38  7.625 0.014  7.128 0.013  6.975 0.020 0
AA GEM    2454492.690 0.56  7.651 0.014  7.186 0.013  7.054 0.020 0
AA GEM    2454512.824 0.34  7.589 0.014  7.112 0.013  7.027 0.020 0
AA GEM    2454515.808 0.60  7.724 0.014  7.201 0.013  7.150 0.020 0
AA GEM    2454520.701 0.04  7.605 0.014  7.186 0.013  7.079 0.020 0
AA GEM    2454553.737 0.96  7.682 0.014  7.250 0.013  7.117 0.020 0
AA GEM    2454574.673 0.81  7.735 0.014  7.305 0.013  7.224 0.020 0
AA GEM    2454575.654 0.90  7.725 0.014  7.292 0.013  7.179 0.020 0
AA GEM    2454577.646 0.07  7.569 0.014  7.186 0.013  7.020 0.020 0
AA GEM    2454578.675 0.16  7.573 0.014  7.116 0.013  6.985 0.020 0
AA GEM    2454579.675 0.25  7.559 0.014  7.082 0.013  6.936 0.020 0
AA GEM    2454586.633 0.87  7.698 0.014  7.313 0.013  7.182 0.020 0
AA GEM    2454734.965 0.99  7.645 0.014  7.215 0.013  7.145 0.020 0
AA GEM    2454739.966 0.43  7.614 0.014  7.094 0.013  7.015 0.020 0
AA GEM    2454753.839 0.66  7.753 0.014  7.263 0.013  7.148 0.020 0
AA GEM    2454754.840 0.75  7.732 0.014  7.294 0.013  7.220 0.020 0
AA GEM    2454755.800 0.83  7.719 0.014  7.290 0.013  7.193 0.020 0
AA GEM    2454762.929 0.47  7.645 0.014  7.172 0.013  7.039 0.020 0
AA MON    2454489.788 0.44  9.686 0.017  9.117 0.016  8.929 0.021 0
AA MON    2454492.768 0.20  9.626 0.017  9.112 0.016  8.917 0.021 0
AA MON    2454512.715 0.27  9.617 0.017  9.127 0.016  8.934 0.021 0
AA MON    2454515.703 0.02  9.652 0.017  9.141 0.016  8.927 0.021 0
