S VUL       19 48 23.80 +27 17 11.4 1.8385  5.410 0.012 4.806 0.011 4.586 0.015 34
GY SGE      19 35 13.64 +19 12 08.6 1.7138  5.530 0.012 4.827 0.011 4.546 0.015 36
V1467 CYG   20 04 02.17 +32 27 02.4 1.6866  8.150 0.013 7.278 0.012 6.961 0.016 26
SV VUL      19 51 30.90 +27 27 36.8 1.6553  4.552 0.012 4.051 0.011 3.905 0.016 32
V0396 CYG   20 16 12.67 +42 06 31.5 1.5218  6.031 0.012 5.037 0.011 4.619 0.016 27
V0609 CYG   21 26 56.03 +54 29 29.2 1.4924  6.800 0.013 6.108 0.012 5.817 0.016 20
T MON       06 25 13.00 +07 05 08.4 1.4319  4.077 0.014 3.610 0.012 3.496 0.017 17
OT PER      04 38 37.93 +47 44 24.9 1.4165  8.712 0.013 7.899 0.012 7.598 0.016 22
BM PER      04 29 39.40 +48 25 19.1 1.3608  6.656 0.013 5.991 0.012 5.741 0.016 26
WZ SGR      18 16 59.71 -19 04 32.9 1.3394  5.258 0.013 4.740 0.012 4.573 0.016 22
VX CYG      20 57 20.82 +40 10 38.9 1.3039  6.689 0.012 6.065 0.011 5.875 0.016 24
KX CYG      20 24 19.34 +40 33 40.0 1.3020  6.838 0.013 5.980 0.011 5.621 0.016 25
RU SCT      18 41 56.37 -04 06 38.3 1.2946  5.886 0.013 5.274 0.012 5.069 0.016 21
YZ AUR      05 15 21.98 +40 04 41.0 1.2599  7.484 0.013 6.892 0.011 6.705 0.016 24
CP CEP      21 57 52.70 +56 09 49.9 1.2519  7.330 0.012 6.711 0.011 6.511 0.016 22
AA SER      18 41 21.75 -01 06 40.3 1.2340  7.544 0.012 6.758 0.011 6.491 0.015 21
SZ AQL      19 04 39.43 +01 18 22.0 1.2340  5.839 0.012 5.325 0.011 5.158 0.016 24
CD CYG      20 04 26.55 +34 06 44.0 1.2323  6.351 0.012 5.830 0.011 5.684 0.016 27
RW CAM      03 54 21.79 +58 39 12.0 1.2152  5.819 0.012 5.276 0.011 5.113 0.016 21
ER AUR      05 13 09.96 +41 59 25.8 1.1956  9.069 0.012 8.589 0.011 8.447 0.015 20
SV MON      06 21 26.31 +06 28 12.5 1.1828  6.260 0.013 5.817 0.011 5.704 0.016 24
SZ CYG      20 32 54.28 +46 36 04.5 1.1793  6.515 0.012 5.944 0.011 5.745 0.015 33
CH CAS      23 22 28.41 +62 45 25.7 1.1786  7.321 0.013 6.673 0.011 6.420 0.015 21
RW CAS      01 37 14.01 +57 45 33.0 1.1701  6.836 0.013 6.354 0.011 6.212 0.016 21
UZ SCT      18 31 22.36 -12 55 43.4 1.1686  7.395 0.012 6.735 0.011 6.496 0.015 21
TX CYG      21 00 06.36 +42 35 51.2 1.1676  5.312 0.013 4.616 0.011 4.341 0.015 22
CY CAS      23 29 12.74 +63 22 27.5 1.1577  7.850 0.013 7.160 0.012 6.938 0.016 22
CY AUR      04 57 40.07 +46 05 33.1 1.1414  8.580 0.013 7.945 0.012 7.744 0.016 21
TT AQL      19 08 13.73 +01 17 55.1 1.1384  4.642 0.013 4.162 0.012 4.035 0.016 26
V0916 AQL   19 10 00.42 +12 32 11.7 1.1284  7.362 0.012 6.751 0.011 6.551 0.015 25
V1364 CYG   20 07 29.43 +35 20 46.9 1.1132  9.088 0.013 8.337 0.011 8.089 0.016 19
GX SGE      19 31 10.48 +19 15 25.5 1.1106  8.261 0.012 7.561 0.011 7.310 0.015 27
Z SCT       18 42 57.27 -05 49 15.3 1.1106  6.954 0.013 6.465 0.011 6.300 0.015 19
GQ VUL      19 47 58.00 +26 00 00.1 1.1019  8.669 0.013 7.919 0.011 7.643 0.015 22
AS VUL      19 47 44.47 +27 55 05.6 1.0872  8.374 0.012 7.715 0.011 7.489 0.015 32
RY CAS      23 52 07.03 +58 44 30.2 1.0841  7.063 0.012 6.537 0.011 6.347 0.015 24
EZ CYG      19 57 49.02 +30 15 57.1 1.0667  8.192 0.013 7.655 0.011 7.496 0.015 20
RX AUR      05 01 23.18 +39 57 37.5 1.0653  5.741 0.012 5.346 0.011 5.250 0.015 22
AA GEM      06 06 34.94 +26 19 45.1 1.0532  7.646 0.012 7.189 0.011 7.086 0.016 23
HZ PER      04 25 37.29 +45 37 12.9 1.0523  9.127 0.013 8.324 0.012 8.035 0.016 22
V0438 CYG   20 18 54.30 +40 03 52.3 1.0496  6.764 0.012 6.060 0.011 5.757 0.015 27
SV PER      04 49 47.94 +42 17 22.9 1.0465  6.798 0.012 6.342 0.011 6.214 0.016 20
TY SCT      18 42 07.91 -04 17 36.5 1.0435  7.226 0.013 6.620 0.011 6.400 0.015 22
VX PER      02 07 48.48 +58 26 36.8 1.0370  6.886 0.012 6.427 0.011 6.277 0.015 21
Z LAC       22 40 52.12 +56 49 46.0 1.0369  6.221 0.013 5.792 0.011 5.668 0.016 19
Y SCT       18 38 03.30 -08 22 08.0 1.0146  6.456 0.012 5.881 0.011 5.663 0.015 22
AN AUR      04 59 41.53 +40 50 09.6 1.0124  7.932 0.013 7.434 0.011 7.274 0.016 20
SY AUR      05 12 39.22 +42 49 54.5 1.0062  6.925 0.012 6.514 0.011 6.386 0.015 20
BZ CYG      20 45 59.79 +45 18 25.0 1.0061  6.751 0.012 6.134 0.011 5.899 0.015 29
CN SCT      18 42 30.48 -04 19 50.4 0.9997  7.821 0.012 7.055 0.011 6.730 0.015 23
DD CAS      23 57 34.95 +62 43 05.7 0.9918  7.533 0.012 7.055 0.011 6.924 0.015 26
YZ SGR      18 49 28.60 -16 43 22.9 0.9802  5.378 0.012 4.989 0.011 4.878 0.015 24
CN CEP      23 25 34.79 +64 47 25.4 0.9778  8.316 0.012 7.627 0.011 7.367 0.015 21
FN AQL      19 12 47.31 +03 33 26.4 0.9769  5.947 0.012 5.473 0.011 5.328 0.015 19
TX MON      06 50 52.27 -01 25 45.3 0.9396  8.576 0.012 8.102 0.011 7.959 0.015 22
AC MON      07 00 59.81 -08 42 32.3 0.9039  7.579 0.012 7.054 0.011 6.885 0.015 22
BK AUR      05 10 40.19 +49 41 15.3 0.9032  7.302 0.013 6.873 0.011 6.749 0.015 19
DL CAS      00 29 58.58 +60 12 43.1 0.9031  6.556 0.012 6.089 0.011 5.929 0.015 21
U VUL       19 36 37.73 +20 19 58.6 0.9026  4.515 0.012 4.074 0.011 3.928 0.015 19
W GEM       06 34 57.44 +15 19 49.6 0.8984  5.133 0.013 4.757 0.012 4.671 0.016 17
RX CAM      04 04 58.44 +58 39 35.4 0.8983  5.169 0.013 4.714 0.011 4.577 0.015 19
VY CYG      21 04 16.63 +39 58 20.1 0.8953  7.005 0.012 6.536 0.011 6.374 0.015 26
GH CYG      19 59 10.79 +29 27 02.7 0.8931  7.256 0.012 6.787 0.011 6.614 0.015 18
CD CAS      23 45 02.59 +63 00 13.9 0.8921  7.631 0.012 7.077 0.011 6.896 0.015 25
RS ORI      06 22 13.18 +14 40 41.2 0.8789  6.411 0.012 6.009 0.011 5.898 0.015 24
V1344 AQL   19 11 59.16 +04 21 17.6 0.8738  5.184 0.012 4.720 0.011 4.573 0.015 20
TZ MON      06 58 00.93 -00 22 33.4 0.8709  8.454 0.012 7.993 0.011 7.832 0.015 19
CK SCT      18 41 00.66 -06 05 49.9 0.8701  7.380 0.012 6.806 0.011 6.627 0.015 19
V0336 AQL   19 01 19.73 +00 08 49.2 0.8635  7.155 0.012 6.676 0.011 6.521 0.015 17
V0459 CYG   21 10 54.36 +49 08 31.4 0.8604  7.601 0.012 7.058 0.011 6.883 0.015 19
V0600 AQL   19 20 56.08 +08 33 22.1 0.8596  6.961 0.012 6.435 0.011 6.242 0.015 22
AK CEP      22 28 50.06 +58 12 39.3 0.8593  8.404 0.012 7.884 0.011 7.740 0.015 21
TW CMA      07 22 02.37 -14 19 05.5 0.8448  7.579 0.012 7.167 0.011 7.046 0.015 26
AO AUR      05 47 45.05 +32 00 52.7 0.8301  8.640 0.013 8.188 0.011 8.064 0.015 21
U SGR       18 31 53.32 -19 07 30.1 0.8290  4.516 0.013 4.088 0.011 3.949 0.016 24
V0495 CYG   20 15 58.32 +35 00 52.9 0.8276  7.105 0.012 6.526 0.011 6.287 0.015 23
AY SGR      18 23 19.15 -18 34 29.2 0.8175  7.122 0.012 6.518 0.011 6.299 0.015 25
AW PER      04 47 46.32 +36 43 22.1 0.8105  5.225 0.012 4.821 0.011 4.695 0.015 24
